,ORDO_ID,ORDO_term,ORDO_syn,ORDO_definition,ORDO_mappings,SNOMED_ID,SNOMED_term
0,http://www.orpha.net/ORDO/Orphanet_69735,Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome,Hypotrichosis-lymphedema-telangiectasia-membranoproliferative glomerulonephritis syndrome,"Hypotrichosis - lymphedema - telangiectasia is an extremely rare syndromic lymphedema disorder characterized by early-onset hypotrichosis, childhood-onset lymphedema, and variable telangiectasia, particularly of the palms.",OMIM:607823|OMIM:137940,,
1,http://www.orpha.net/ORDO/Orphanet_251646,Anaplastic ependymoma,,"Anaplastic ependymoma is a rare, malignant type of ependymoma (see this term) that most often arises in the supratentorial region of the brain of children and young adults and that manifests with variable symptoms including headaches, nausea, vision impairment, memory loss and difficulty walking.",UMLS:C0280788|MedDRA:10014968|ICD-10:C71.9,,
2,http://www.orpha.net/ORDO/Orphanet_217563,Neonatal acute respiratory distress due to SP-B deficiency,Neonatal acute respiratory distress due to surfactant protein B deficiency,,OMIM:265120|ICD-10:P28.0,,
3,http://www.orpha.net/ORDO/Orphanet_513456,Intellectual disability-seizures-abnormal gait-facial dysmorphism syndrome,Skraban-Deardorff syndrome,,OMIM:617616,,
4,http://www.orpha.net/ORDO/Orphanet_523,Hereditary leiomyomatosis and renal cell cancer,Hereditary leiomyomatosis with renal carcinoma|Familial leiomyomatosis cutis et uteri|Familial leiomyomatosis with renal carcinoma|MCUL|Reed syndrome|Hereditary leiomyomatosis|Hereditary multiple cutaneous leiomyomas|Familial multiple cutaneous leiomyomas|Multiple cutaneous and uterine leiomyomas|Familial leiomyomatosis and renal cell cancer|HLRCC,"Hereditary leiomyomatosis and renal cell cancer (HLRCC) is a hereditary cancer syndrome characterized by a predisposition to cutaneous and uterine leiomyomas and, in some families, to renal cell cancer.",UMLS:C1708350|ICD-10:C64|OMIM:150800,,
5,http://www.orpha.net/ORDO/Orphanet_95431,Twin to twin transfusion syndrome,Feto-fetal transfusion syndrome,"Twin twin transfusion syndrome (TTTS) is a rare condition seen in twin monochorionic pregnancies, typically developing during the 15-26 week gestation period and usually due to unbalanced intertwin placental anastomoses, where an unequal exchange of blood between twins causes oligohydramnios in one sac and polyhydramnios in the other which can lead to a high perinatal mortality rate and a high rate of disability in survivors if left untreated",MedDRA:10058328|ICD-10:O43.0,,
6,http://www.orpha.net/ORDO/Orphanet_247245,Superficial siderosis,Superficial siderosis of the CNS|Superficial hemosiderosis of the central nervous system|Superficial siderosis of the central nervous system|Superficial hemosiderosis of the CNS|Hemosiderosis of the central nervous system,"Superficial siderosis is a rare neurologic disease characterized by progressive sensorineural hearing loss, cerebellar ataxia, pyramidal signs, and neuroimaging findings revealing hemosiderin deposits in the spinal and cranial leptomeninges and subpial layer. The disease progresses slowly and patients may present with mild cognitive impairment, nystagmus, dysmetria, spasticity, dysdiadochokinesia, dysarthria, hyperreflexia, and Babinski signs. Additional features reported include dementia, urinary incontinence, anosmia, ageusia, and anisocoria.",ICD-10:I69.0,,
7,http://www.orpha.net/ORDO/Orphanet_424053,Mucinous cystadenocarcinoma of the pancreas,Pancreatic mucinous cystadenocarcinoma,"A rare, epithelial tumor of the pancreas characterized, histologically, by columnar, mucin-producing epithelium associated with ovarian-type subepithelial stroma, which does not communicate with the pancreatic ductal system, most frequently localized to the body or tail of the pancreas. Clinically, small tumors (<3 cm) are usually asymptomatic, while large tumors typically present obstructive jaundice, a palpable abdominal mass, and may associate portal hypertension, hemobilia and diabetes mellitus.",UMLS:C2063873|ICD-10:C25.2|ICD-10:C25.0|ICD-10:C25.8|ICD-10:C25.7|ICD-10:C25.1,,
8,http://www.orpha.net/ORDO/Orphanet_293168,Infantile-onset ascending hereditary spastic paralysis,IAHSP,"Infantile-onset ascending hereditary spastic paralysis (IAHSP) is a very rare motor neuron disease characterized by severe spasticity of the lower limbs in early life, progression of spasticity to the upper limbs in late childhood, and dysarthria.",OMIM:607225|UMLS:C2931441|ICD-10:G12.2,,
9,http://www.orpha.net/ORDO/Orphanet_2698,Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome,Bart-Pumphrey syndrome|Knuckle pads-leukonychia-sensorineural deafness-palmoplantar keratoderma syndrome,"A rare, syndromic genetic deafness disease characterized by symmetric or asymmetirc knuckle pads (typically located on the distal and interphalangeal joints), leukonychia, diffuse palmoplantar keratoderma, and congenital, mild to moderate sensorineural deafness.",ICD-10:Q82.8|UMLS:C0266004|OMIM:149200,,
10,http://www.orpha.net/ORDO/Orphanet_91135,Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency,Pseudoxanthoma elasticum-like syndrome|PXE-like syndrome,Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency is a very rare genetic skin disease characterized by severe skin laxity affecting the trunk and limbs.,ICD-10:D68.4|OMIM:610842|UMLS:C1835813,,
11,http://www.orpha.net/ORDO/Orphanet_99828,Dengue fever,DF|Dengue virus infection,"Dengue fever (DF), caused by dengue virus, is an arboviral disease characterized by an initial non-specific febrile illness that can sometimes progress to more severe forms manifesting capillary leakage and hemorrhage (dengue hemorrhagic fever, or DHF) and shock (dengue shock syndrome, or DSS).",MedDRA:10012310|UMLS:C0376300|ICD-10:A97.2|OMIM:614371|ICD-10:A97.0|UMLS:C0011311|UMLS:C0019100|ICD-10:A97.1|ICD-10:A97.9|MeSH:D003715,,
12,http://www.orpha.net/ORDO/Orphanet_79333,COG7-CDG,CDG2E|CDG syndrome type IIe|Carbohydrate deficient glycoprotein syndrome type IIe|Congenital disorder of glycosylation type IIe|Congenital disorder of glycosylation type 2e|CDG-IIe,"COG7-CDG is a congenital disorder of glycosylation characterised by dysmorphism, skeletal dysplasia, hypotonia, hepatosplenomegaly, jaundice, cardiac insufficiency, recurrent infections and epilepsy. To date, it has been described in two infants, both of whom died within the first three months of life. The syndrome is caused by a mutation in the gene encoding COG-7 (chromosome 16), a subunit of the oligomeric Golgi complex.",UMLS:C2931010|ICD-10:E77.8|OMIM:608779,,
13,http://www.orpha.net/ORDO/Orphanet_183713,Pyogenic bacterial infections due to MyD88 deficiency,MyD88 deficiency,"Pyogenic bacterial infection due to MyD88 deficiency is a primary immunodeficiency characterized by increased susceptibility to pyogenic bacterial infections, including invasive pneumococcal, invasive staphylococcal and pseudomonas disease.",ICD-10:D84.8|UMLS:C2677092|OMIM:612260,,
14,http://www.orpha.net/ORDO/Orphanet_90020,Amyotrophic lateral sclerosis-parkinsonism-dementia complex,Amyotrophic lateral sclerosis-parkinsonism-dementia of Guam syndrome|Guam disease|Parkinsonism-dementia-ALS complex|Lytico-Bodig disease|PDALS,,UMLS:C0543859|ICD-10:G12.2|OMIM:105500,,
15,http://www.orpha.net/ORDO/Orphanet_200421,Immunodeficiency with factor H anomaly,,"Immunodeficiency with factor H anomaly is a rare, genetic, primary immunodeficiency disease characterized by increased susceptibility to recurrent, usually severe, infections (particularly by  Neisseria meningitidis, Escherichia coli, and Haemophilus influenzae), renal impairment and/or autoimmune diseases, typically manifesting with otitis media, bronchitis, meningitis, and/or septicemia, as well as hematuria/proteinuria, asthma, nephrotic syndrome, hemolytic uremic syndrome, glomerulonephritis, and/or systemic lupus erythematosus. Laboratory serum analysis reveals, in addition to factor H deficiency, decreased complement factor B, properin, complement C3 and terminal complement components.",OMIM:609814|ICD-10:D84.1|UMLS:C0398777,,
16,http://www.orpha.net/ORDO/Orphanet_85182,Diaphyseal medullary stenosis-bone malignancy syndrome,Diaphyseal medullary stenosis-malignant fibrous histiocytoma syndrome|Bone dysplasia-medullary fibrosarcoma syndrome|Hardcastle syndrome,"Diaphyseal medullary stenosis with malignant fibrous histiocytoma is a very rare autosomal dominant bone dysplasia/cancer syndrome characterized clinically by bone infarctions, cortical growth abnormalities, pathological fractures, and development of bone sarcoma (malignant fibrous histiocytoma).",UMLS:C1862177|UMLS:C1300202|OMIM:112250|MeSH:C536169|ICD-10:M89.8,,
17,http://www.orpha.net/ORDO/Orphanet_480701,Facial diplegia with paresthesias,Facial diplegia with paresthesias variant of GBS|Facial diplegia with paresthesias variant of Guillain-Barré syndrome,,,,
18,http://www.orpha.net/ORDO/Orphanet_391487,Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,,"Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome is an extremely rare, autosomal dominant immunological disorder characterized by variable enteropathy, endocrine disorders (e.g. type 1 diabetes mellitus, hypothyroidism), immune dysregulation with pulmonary and blood-borne bacterial infections, and fungal infections (chronic mucocutaneous candidiasis) developing in infancy. Other manifestations include short stature, eczema, hepatosplenomegaly, delayed puberty, and osteoporosis/osteopenia.",OMIM:614162|ICD-10:K63.9,,
19,http://www.orpha.net/ORDO/Orphanet_100080,Neuroendocrine tumor of the colon,Colonic NET|Neuroendocrine neoplasm of the colon|NET of the colon,"Neuroendocrine tumor of the colon is a rare epithelial tumor of the large intestine, arising from enterochromaffin cells, most commonly in the cecum or ascending colon. The tumor is usually slow-growing and can be diagnosed as an incidental finding in an asymptomatic patient, while in the later stages patients can present with abdominal pain, palpable abdominal mass, changes in bowel habits, signs of bowel obstruction, gastrointestinal bleeding, anorexia, weight loss or, rarely, carcinoid syndrome (facial flushing, diarrhea, tachycardia, hypo- and hypertension, cardiac abnormalities).",,,
20,http://www.orpha.net/ORDO/Orphanet_178522,Primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma,,"A rare, primary cutaneous T-cell lymphoma characterized by solitary cutaneous nodule or only regional disease, typically occurring on the head and neck, and involving entire dermis. Sometimes, subcutis and adnexal structures are involved, as well. The infiltrate is nodular or diffuse, composed of small to medium sized pleomorphic lymphocytes and showing mild to moderate cytologic atypia. Neoplastic T-cells are mixed with B-cells, histiocytes, plasma cells and eosinophils.",ICD-10:C84.4,,
21,http://www.orpha.net/ORDO/Orphanet_263455,Hyperinsulinism due to HNF4A deficiency,Hyperinsulinemic hypoglycemia due to HNF4A deficiency,"Hyperinsulinism due to HNF4A deficiency is a form of diazoxide-sensitive diffuse hyperinsulinism (DHI), characterized by macrosomia, transient or persistent hyperinsulinemic hypoglycemia (HH), responsiveness to diazoxide and a propensity to develop maturity-onset diabetes of the young subtype 1 (MODY-1; see this term).",ICD-10:E16.1,,
22,http://www.orpha.net/ORDO/Orphanet_140922,Autosomal recessive limb-girdle muscular dystrophy type 2J,LGMD2J,"Autosomal recessive limb-girdle muscular dystrophy type 2J (LGMD2J) is a form of limb-girdle muscular dystrophy that usually has a childhood onset (but can range from the first to third decade of life) of severe progressive proximal weakness, eventually involving the distal muscles. Some patients may remain ambulatory but most are wheelchair dependant 20 years after onset.",ICD-10:G71.0|OMIM:608807|UMLS:C1837342,,
23,http://www.orpha.net/ORDO/Orphanet_357237,Severe combined immunodeficiency due to CARD11 deficiency,SCID due to CARD11 deficiency,"Severe combined immunodeficiency due to CARD11 deficiency is a rare combined T and B cell immunodeficiency characterized by normal numbers of T and B lymphocytes, increased numbers of transitional B cells and hypo- to agammaglobulinemia, decreased numbers of regulatory T cells and defects in T-cell functions. It presents with severe susceptibility to infections, including opportunistic infections.",OMIM:615206|ICD-10:D81.2,,
24,http://www.orpha.net/ORDO/Orphanet_70596,Congenital Epstein-Barr virus infection,Antenatal Epstein-Barr virus infection|Congenital EBV infection|Mother-to-child transmission of Epstein-Barr virus infection|Antenatal EBV infection,"Congenital Epstein-Barr virus (EBV) infection causes no clinical manifestations in the majority of infants. Indeed, the occurrence of congenital infection with EBV has never been demonstrated conclusively and must be very rare. One case have been reported to present after birth, multiple congenital anomalies (micrognathia, cryptorchidism, central cataracts), dystrophy, generalized hypotonia, hepatosplenomegaly, diffuse petechiae and hematomas and multiple areas of metaphysitis of the long bones at birth. A low birth weight was also reported. No specific follow-up of the fetus is recommended following maternal EBV primary-infection.",ICD-10:P35.8,,
