	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	ORDO_ID
0	454	Acquired ichthyosis	Acquired ichthyosis	8691004	Acquired ichthyosis (disorder)	
1	747	Autoimmune pulmonary alveolar proteinosis	Autoimmune pulmonary alveolar proteinosis	707443007	Autoimmune pulmonary alveolar proteinosis (disorder)	
2	397750	Periodic paralysis with later-onset distal motor neuropathy	Periodic paralysis with later-onset distal motor neuropathy	774154008	Periodic paralysis with later-onset distal motor neuropathy (disorder)	
3	252031	Diffuse leptomeningeal melanocytosis	Diffuse leptomeningeal melanocytosis	770628008	Diffuse leptomeningeal melanocytosis (disorder)	
4	306553	Myospherulosis	Myospherulosis	81139004	Myospherulosis (disorder)	
5	1160	Chylous ascites	Chylous ascites	52985009	Chylous ascites (disorder)	
6	99734	Myotonia fluctuans	Myotonia fluctuans	715788001	Myotonia fluctuans (disorder)	
7	2686	Cyclic neutropenia	Cyclic neutropenia	69295006	Cyclic neutropenia (disorder)	
8	79154	2-aminoadipic 2-oxoadipic aciduria	2-aminoadipic 2-oxoadipic aciduria	782918002	2-aminoadipic 2-oxoadipic aciduria (disorder)	
9	284289	Adult-onset autosomal recessive cerebellar ataxia	Adult-onset autosomal recessive cerebellar ataxia	785302009	Adult-onset autosomal recessive cerebellar ataxia (disorder)	
10	101016	Romano-Ward syndrome	Romano-Ward syndrome	20852007	Romano-Ward syndrome (disorder)	
11	210584	Spindle cell hemangioma	Spindle cell hemangioma	403967000	Spindle cell hemangioma (disorder)	
12	317	Erythrokeratodermia variabilis	Erythrokeratodermia variabilis	70041004	Erythrokeratodermia variabilis (disorder)	
13	39812	Graft versus host disease	Graft versus host disease	75744002	Graft versus host disease (disorder)	
14	903	Von Willebrand disease	Von Willebrand disease	11093006	von Willebrand disease (disorder)	
15	143	Parathyroid carcinoma	Parathyroid carcinoma	255037004	Parathyroid carcinoma (disorder)	
16	70476	Vernal keratoconjunctivitis	Vernal keratoconjunctivitis	317349009	Vernal keratoconjunctivitis (disorder)	
17	238329	Severe X-linked mitochondrial encephalomyopathy	Severe X-linked mitochondrial encephalomyopathy	722212004	Severe X-linked mitochondrial encephalomyopathy (disorder)	
18	211067	Episodic ataxia type 5	Episodic ataxia type 5	718756005	Episodic ataxia type 5 (disorder)	
19	329894	Juvenile overlap myositis	Juvenile overlap myositis	766252004	Juvenile overlap myositis (disorder)	
20	254379	Linear lichen planus	Linear lichen planus	44509000	Linear lichen planus (disorder)	
21	284460	Acute annular outer retinopathy	Acute annular outer retinopathy	783612007	Acute annular outer retinopathy (disorder)	
22	329481	Lipoprotein glomerulopathy	Lipoprotein glomerulopathy	446923008	Lipoprotein glomerulopathy (disorder)	
23	157215	Hereditary hypophosphatemic rickets with hypercalciuria	Hereditary hypophosphatemic rickets with hypercalciuria	726081005	Hereditary hypophosphatemic rickets with hypercalciuria (disorder)	
24	2200	Focal palmoplantar and gingival keratoderma	Focal palmoplantar and gingival keratoderma	764963007	Focal palmoplantar and gingival keratoderma (disorder)	
25	2905	POEMS syndrome	POEMS syndrome	79268002	POEMS syndrome (disorder)	
26	94091	Mills syndrome	Mills syndrome	785809005	Mills syndrome (disorder)	
27	90068	Cocaine intoxication	Cocaine intoxication	27956007	Cocaine intoxication (disorder)	
28	2869	Peutz-Jeghers syndrome	Peutz-Jeghers syndrome	54411001	Peutz-Jeghers syndrome (disorder)	
29	230	Dopamine beta-hydroxylase deficiency	Dopamine beta-hydroxylase deficiency	237923004	Dopamine beta-hydroxylase deficiency (disorder)	
30	2812	Parana hard skin syndrome	Parana hard skin syndrome	783013001	Parana hard skin syndrome (disorder)	
31	139411	Carney triad	Carney triad	733492003	Carney triad (disorder)	
32	100998	Autosomal dominant spastic paraplegia type 17	Autosomal dominant spastic paraplegia type 17	230263009	Autosomal dominant spastic paraplegia type 17 (disorder)	
33	431149	Combined immunodeficiency due to OX40 deficiency	Combined immunodeficiency due to OX40 deficiency	766879006	Combined immunodeficiency due to OX40 deficiency (disorder)	
34	290	Congenital rubella syndrome	Congenital rubella syndrome	157117002	Congenital rubella syndrome (disorder)	
35	66627	Pigmented villonodular synovitis	Pigmented villonodular synovitis	95412009	Pigmented villonodular synovitis (disorder)	
36	3283	His bundle tachycardia	His bundle tachycardia	233901002	His bundle tachycardia (disorder)	
37	98934	Huntington disease-like 2	Huntington disease-like 2	721228006	Huntington disease-like 2 (disorder)	
38	1186	Infantile onset spinocerebellar ataxia	Infantile onset spinocerebellar ataxia	724227000	Infantile onset spinocerebellar ataxia (disorder)	
39	75327	North Carolina macular dystrophy	North Carolina macular dystrophy	312925009	North Carolina macular dystrophy (disorder)	
40	79503	Ichthyosis hystrix of Curth-Macklin	Ichthyosis hystrix of Curth-Macklin	254170001	Ichthyosis hystrix of Curth-Macklin (disorder)	
41	228179	Autosomal dominant Charcot-Marie-Tooth disease type 2M	Autosomal dominant Charcot-Marie-Tooth disease type 2M	719514002	Autosomal dominant Charcot-Marie-Tooth disease type 2M (disorder)	
42	2655	Thanatophoric dysplasia	Thanatophoric dysplasia	29352008	Thanatophoric dysplasia (disorder)	
43	767	Polyarteritis nodosa	Polyarteritis nodosa	66121003	Polyarteritis nodosa (disorder)	
44	3282	Multifocal atrial tachycardia	Multifocal atrial tachycardia	49982000	Multifocal atrial tachycardia (disorder)	
45	101685	Rare non-syndromic intellectual disability	Rare non-syndromic intellectual disability	773772001	Rare non-syndromic intellectual disability (disorder)	
46	34149	Autosomal dominant tubulointerstitial kidney disease	Autosomal dominant tubulointerstitial kidney disease	726018006	Autosomal dominant tubulointerstitial kidney disease (disorder)	
47	102	Multiple system atrophy	Multiple system atrophy	230297002	Multiple system atrophy (disorder)	
48	227796	Fundus albipunctatus	Fundus albipunctatus	764939004	Fundus albipunctatus (disorder)	
49	157794	Hereditary mixed polyposis syndrome	Hereditary mixed polyposis syndrome	787410005	Hereditary mixed polyposis syndrome (disorder)	
50	231580	Primary unilateral adrenal hyperplasia	Primary unilateral adrenal hyperplasia	715868005	Primary unilateral adrenal hyperplasia (disorder)	
51	2382	Lennox-Gastaut syndrome	Lennox-Gastaut syndrome	230418006	Lennox-Gastaut syndrome (disorder)	
52	101001	Autosomal recessive spastic paraplegia type 21	Autosomal recessive spastic paraplegia type 21	764734003	Autosomal recessive spastic paraplegia type 21 (disorder)	
53	264688	Congenital chylothorax	Congenital chylothorax	233646003	Congenital chylothorax (disorder)	
54	213524	Hereditary site-specific ovarian cancer syndrome	Hereditary site-specific ovarian cancer syndrome	771080008	Hereditary site-specific ovarian cancer syndrome (disorder)	
55	183707	Neutrophil immunodeficiency syndrome	Neutrophil immunodeficiency syndrome	723443003	Neutrophil immunodeficiency syndrome (disorder)	
56	398063	Refractory celiac disease	Refractory celiac disease	770593004	Refractory celiac disease (disorder)	
57	401800	Autosomal recessive spastic paraplegia type 60	Autosomal recessive spastic paraplegia type 60	782746009	Autosomal recessive spastic paraplegia type 60 (disorder)	
58	255229	Navajo neurohepatopathy	Navajo neurohepatopathy	784346006	Navajo neurohepatopathy (disorder)	
59	101101	Charcot-Marie-Tooth disease type 2B2	Charcot-Marie-Tooth disease type 2B2	719981005	Charcot-Marie-Tooth disease type 2B2 (disorder)	
60	178311	Isolated sternocostoclavicular hyperostosis	Isolated sternocostoclavicular hyperostosis	766711009	Isolated sternocostoclavicular hyperostosis (disorder)	
61	31826	Ethylene glycol poisoning	Ethylene glycol poisoning	7759006	Ethylene glycol poisoning (disorder)	
62	99926	Gestational choriocarcinoma	Gestational choriocarcinoma	417570003	Gestational choriocarcinoma (disorder)	
63	352403	Spectrin-associated autosomal recessive cerebellar ataxia	Spectrin-associated autosomal recessive cerebellar ataxia	763351003	Spectrin-associated autosomal recessive cerebellar ataxia (disorder)	
64	199241	Pulmonary capillary hemangiomatosis	Pulmonary capillary hemangiomatosis	233949008	Pulmonary capillary hemangiomatosis (disorder)	
65	254492	Frontal fibrosing alopecia	Frontal fibrosing alopecia	717055000	Frontal fibrosing alopecia (disorder)	
66	99867	Thymoma	Thymoma	444231005	Thymoma (disorder)	
67	97238	Rippling muscle disease	Rippling muscle disease	709281006	Rippling muscle disease (disorder)	
68	890	Hepatic veno-occlusive disease	Hepatic veno-occlusive disease	197365004	Hepatic veno-occlusive disease (disorder)	
69	100043	Autosomal dominant intermediate Charcot-Marie-Tooth disease type A	Autosomal dominant intermediate Charcot-Marie-Tooth disease type A	765744006	Autosomal dominant intermediate Charcot-Marie-Tooth disease type A (disorder)	
70	288	Hereditary elliptocytosis	Hereditary elliptocytosis	191169008	Hereditary elliptocytosis (disorder)	
71	93568	Juvenile polymyositis	Juvenile polymyositis	738526005	Juvenile polymyositis (disorder)	
72	100079	Neuroendocrine neoplasm of appendix	Neuroendocrine neoplasm of appendix	725167001	Neuroendocrine neoplasm of appendix (disorder)	
73	263413	Angiosarcoma	Angiosarcoma	403977003	Angiosarcoma (disorder)	
74	90362	Primary intestinal lymphangiectasia	Primary intestinal lymphangiectasia	6124009	Primary intestinal lymphangiectasia (disorder)	
75	69087	Naegeli-Franceschetti-Jadassohn syndrome	Naegeli-Franceschetti-Jadassohn syndrome	239084001	Naegeli-Franceschetti-Jadassohn syndrome (disorder)	
76	95513	Panhypophysitis	Panhypophysitis	783016009	Panhypophysitis (disorder)	
77	98969	Macular corneal dystrophy	Macular corneal dystrophy	60258001	Macular corneal dystrophy (disorder)	
78	209902	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency	773726000	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency (disorder)	
79	2396	Encephalocraniocutaneous lipomatosis	Encephalocraniocutaneous lipomatosis	238905009	Encephalocraniocutaneous lipomatosis (disorder)	
80	91354	Pituitary deficiency due to empty sella turcica syndrome	Pituitary deficiency due to empty sella turcica syndrome	715668008	Pituitary deficiency due to empty sella turcica syndrome (disorder)	
81	139426	Perioral myoclonia with absences	Perioral myoclonia with absences	766815007	Perioral myoclonia with absences (disorder)	
82	142	Anaplastic thyroid carcinoma	Anaplastic thyroid carcinoma	255031003	Anaplastic thyroid carcinoma (disorder)	
83	314017	Idiopathic linear interstitial keratitis	Idiopathic linear interstitial keratitis	773994002	Idiopathic linear interstitial keratitis (disorder)	
84	231160	Familial cerebral saccular aneurysm	Familial cerebral saccular aneurysm	703226008	Familial cerebral saccular aneurysm (disorder)	
85	103907	Chronic diarrhea due to glucoamylase deficiency	Chronic diarrhea due to glucoamylase deficiency	716277000	Chronic diarrhea due to glucoamylase deficiency (disorder)	
86	228272	Primary anetoderma	Primary anetoderma	238829001	Primary anetoderma (disorder)	
87	33226	Waldenström macroglobulinemia	Waldenström macroglobulinemia	109981009	Waldenström macroglobulinemia (disorder)	
88	1332	Medullary thyroid carcinoma	Medullary thyroid carcinoma	255032005	Medullary thyroid carcinoma (disorder)	
89	2764	Osteochondritis dissecans	Osteochondritis dissecans	82562007	Osteochondritis dissecans (disorder)	
90	59135	Laing early-onset distal myopathy	Laing early-onset distal myopathy	764859001	Laing early-onset distal myopathy (disorder)	
91	746	Mitochondrial trifunctional protein deficiency	Mitochondrial trifunctional protein deficiency	237999008	Mitochondrial trifunctional protein deficiency (disorder)	
92	67036	Autosomal dominant optic atrophy and cataract	Autosomal dominant optic atrophy and cataract	719517009	Autosomal dominant optic atrophy and cataract (disorder)	
93	254698	Epithelioid trophoblastic tumor	Epithelioid trophoblastic tumor	609515005	Epithelioid trophoblastic tumor (disorder)	
94	425	Apolipoprotein A-I deficiency	Apolipoprotein A-I deficiency	238095002	Apolipoprotein A-I deficiency (disorder)	
95	201	Cowden syndrome	Cowden syndrome	58037000	Cowden syndrome (disorder)	
96	99943	Autosomal dominant Charcot-Marie-Tooth disease type 2J	Autosomal dominant Charcot-Marie-Tooth disease type 2J	717014003	Autosomal dominant Charcot-Marie-Tooth disease type 2J (disorder)	
97	206580	Autosomal recessive lower motor neuron disease with childhood onset	Autosomal recessive lower motor neuron disease with childhood onset	771302009	Autosomal recessive lower motor neuron disease with childhood onset (disorder)	
98	90026	Primary erythromelalgia	Primary erythromelalgia	403390002	Primary erythromelalgia (disorder)	
99	137686	Asherman syndrome	Asherman syndrome	48236007	Asherman syndrome (disorder)	
100	79401	Epidermolysis bullosa simplex, Ogna type	Epidermolysis bullosa simplex, Ogna type	398071000	Epidermolysis bullosa simplex, Ogna type (disorder)	
101	98868	Southeast Asian ovalocytosis	Southeast Asian ovalocytosis	723623002	Southeast Asian ovalocytosis (disorder)	
102	209867	Autosomal dominant rhegmatogenous retinal detachment	Autosomal dominant rhegmatogenous retinal detachment	773727009	Autosomal dominant rhegmatogenous retinal detachment (disorder)	
103	324585	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain	778003000	Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain (disorder)	
104	391330	X-linked osteoporosis with fractures	X-linked osteoporosis with fractures	782785002	X-linked osteoporosis with fractures (disorder)	
105	98960	Thiel-Behnke corneal dystrophy	Thiel-Behnke corneal dystrophy	417065002	Thiel-Behnke corneal dystrophy (disorder)	
106	424046	Acinar cell carcinoma of pancreas	Acinar cell carcinoma of pancreas	783771003	Acinar cell carcinoma of pancreas (disorder)	
107	94087	Cytophagic histiocytic panniculitis	Cytophagic histiocytic panniculitis	238883003	Cytophagic histiocytic panniculitis (disorder)	
108	2122	Kaposiform hemangioendothelioma	Kaposiform hemangioendothelioma	403983000	Kaposiform hemangioendothelioma (disorder)	
109	93398	Genochondromatosis type 2	Genochondromatosis type 2	725904009	Genochondromatosis type 2 (disorder)	
110	401835	Autosomal recessive spastic paraplegia type 70	Autosomal recessive spastic paraplegia type 70	770724001	Autosomal recessive spastic paraplegia type 70 (disorder)	
111	98878	Hemophilia A	Hemophilia A	28293008	Hemophilia A (disorder)	
112	14	Abetalipoproteinemia	Abetalipoproteinemia	190787008	Abetalipoproteinemia (disorder)	
113	98761	Spinocerebellar ataxia type 10	Spinocerebellar ataxia type 10	715754007	Spinocerebellar ataxia type 10 (disorder)	
114	391327	X-linked calvarial hyperostosis	X-linked calvarial hyperostosis	782786001	X-linked calvarial hyperostosis (disorder)	
115	158796	Classic mast cell leukemia	Classic mast cell leukemia	780841002	Classic mast cell leukemia (disorder)	
116	1675	Dihydropyrimidine dehydrogenase deficiency	Dihydropyrimidine dehydrogenase deficiency	238016000	Dihydropyrimidine dehydrogenase deficiency (disorder)	
117	352629	16q24.1 microdeletion syndrome	16q24.1 microdeletion syndrome	770760006	16q24.1 microdeletion syndrome (disorder)	
118	912	Zellweger syndrome	Zellweger syndrome	88469006	Zellweger syndrome (disorder)	
119	319319	Renal medullary carcinoma	Renal medullary carcinoma	765095002	Renal medullary carcinoma (disorder)	
120	324442	Autosomal recessive axonal neuropathy with neuromyotonia	Autosomal recessive axonal neuropathy with neuromyotonia	711406009	Autosomal recessive axonal neuropathy with neuromyotonia (disorder)	
121	208524	Herpetiform pemphigus	Herpetiform pemphigus	771145006	Herpetiform pemphigus (disorder)	
122	46059	Lathosterolosis	Lathosterolosis	719257008	Lathosterolosis (disorder)	
123	3008	Pyruvate carboxylase deficiency	Pyruvate carboxylase deficiency	87694001	Pyruvate carboxylase deficiency (disorder)	
124	90794	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	717261006	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency (disorder)	
125	171612	Autosomal dominant spastic paraplegia type 37	Autosomal dominant spastic paraplegia type 37	763369007	Autosomal dominant spastic paraplegia type 37 (disorder)	
126	845	Tay-Sachs disease	Tay-Sachs disease	111385000	Tay-Sachs disease (disorder)	
127	3130	Satoyoshi syndrome	Satoyoshi syndrome	763630007	Satoyoshi syndrome (disorder)	
128	85445	AA amyloidosis	AA amyloidosis	274945004	AA amyloidosis (disorder)	
129	228423	Monocytopenia with susceptibility to infections	Monocytopenia with susceptibility to infections	778024005	Monocytopenia with susceptibility to infections (disorder)	
130	85136	Cystic leukoencephalopathy without megalencephaly	Cystic leukoencephalopathy without megalencephaly	720825005	Cystic leukoencephalopathy without megalencephaly (disorder)	
131	3324	Familial thrombomodulin anomalies	Familial thrombomodulin anomalies	783256001	Familial thrombomodulin anomalies (disorder)	
132	99942	Autosomal dominant Charcot-Marie-Tooth disease type 2I	Autosomal dominant Charcot-Marie-Tooth disease type 2I	717013009	Autosomal dominant Charcot-Marie-Tooth disease type 2I (disorder)	
133	423717	Cutaneous larva migrans	Cutaneous larva migrans	19362000	Cutaneous larva migrans (disorder)	
134	86867	Nodal marginal zone B-cell lymphoma	Nodal marginal zone B-cell lymphoma	726721002	Nodal marginal zone B-cell lymphoma (disorder)	
135	423296	Spinocerebellar ataxia type 38	Spinocerebellar ataxia type 38	734021001	Spinocerebellar ataxia type 38 (disorder)	
136	91138	Cryoglobulinemic vasculitis	Cryoglobulinemic vasculitis	190815001	Cryoglobulinemic vasculitis (disorder)	
137	100974	FRAXF syndrome	FRAXF syndrome	716708005	FRAXF syndrome (disorder)	
138	932	Achondrogenesis	Achondrogenesis	2391001	Achondrogenesis (disorder)	
139	98767	Spinocerebellar ataxia type 11	Spinocerebellar ataxia type 11	719207000	Spinocerebellar ataxia type 11 (disorder)	
140	276405	Hyperbiliverdinemia	Hyperbiliverdinemia	771441005	Hyperbiliverdinemia (disorder)	
141	397755	Periodic paralysis with transient compartment-like syndrome	Periodic paralysis with transient compartment-like syndrome	774153002	Periodic paralysis with transient compartment-like syndrome (disorder)	
142	616	Medulloblastoma	Medulloblastoma	443333004	Medulloblastoma (disorder)	
143	64692	Oroya fever	Oroya fever	240453002	Oroya fever (disorder)	
144	276580	Autosomal dominant hyperinsulinism due to Kir6.2 deficiency	Autosomal dominant hyperinsulinism due to Kir6.2 deficiency	717045004	Autosomal dominant hyperinsulinism due to Kir6.2 deficiency (disorder)	
145	610	Bethlem myopathy	Bethlem myopathy	718572004	Bethlem myopathy (disorder)	
146	157946	Huntington disease-like 3	Huntington disease-like 3	770939009	Huntington disease-like 3 (disorder)	
147	99952	Charcot-Marie-Tooth disease type 4F	Charcot-Marie-Tooth disease type 4F	715801001	Charcot-Marie-Tooth disease type 4F (disorder)	
148	396	Chronic hiccup	Chronic hiccup	716771000	Chronic hiccup (disorder)	
149	33572	5-oxoprolinase deficiency	5-oxoprolinase deficiency	26132002	5-Oxoprolinase deficiency (disorder)	
150	81	Antisynthetase syndrome	Antisynthetase syndrome	445187004	Antisynthetase syndrome (disorder)	
151	294049	Reunion Island Larsen-like syndrome	Reunion Island Larsen-like syndrome	783559007	Reunion Island Larsen-like syndrome (disorder)	
152	98895	Becker muscular dystrophy	Becker muscular dystrophy	111507009	Becker muscular dystrophy (disorder)	
