	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
0	454	Acquired ichthyosis	Acquired ichthyosis	8691004	Acquired ichthyosis (disorder)	1000
1	747	Autoimmune pulmonary alveolar proteinosis	Autoimmune pulmonary alveolar proteinosis	707443007	Autoimmune pulmonary alveolar proteinosis (disorder)	1000
2	397750	Periodic paralysis with later-onset distal motor neuropathy	Periodic paralysis with later-onset distal motor neuropathy	774154008	Periodic paralysis with later-onset distal motor neuropathy (disorder)	1000
3	252031	Diffuse leptomeningeal melanocytosis	Diffuse leptomeningeal melanocytosis	770628008	Diffuse leptomeningeal melanocytosis (disorder)	1000
4	306553	Myospherulosis	Myospherulosis	81139004	Myospherulosis (disorder)	1000
5	1160	Chylous ascites	Chylous ascites	52985009	Chylous ascites (disorder)	1000
6	99734	Myotonia fluctuans	Myotonia fluctuans	715788001	Myotonia fluctuans (disorder)	1000
7	2686	Cyclic neutropenia	Cyclic neutropenia	69295006	Cyclic neutropenia (disorder)	1000
8	79154	2-aminoadipic 2-oxoadipic aciduria	2-aminoadipic 2-oxoadipic aciduria	782918002	2-aminoadipic 2-oxoadipic aciduria (disorder)	1000
9	284289	Adult-onset autosomal recessive cerebellar ataxia	Adult-onset autosomal recessive cerebellar ataxia	785302009	Adult-onset autosomal recessive cerebellar ataxia (disorder)	1000
10	101016	Romano-Ward syndrome	Romano-Ward syndrome	20852007	Romano-Ward syndrome (disorder)	1000
11	210584	Spindle cell hemangioma	Spindle cell hemangioma	403967000	Spindle cell hemangioma (disorder)	1000
12	317	Erythrokeratodermia variabilis	Erythrokeratodermia variabilis	70041004	Erythrokeratodermia variabilis (disorder)	1000
13	39812	Graft versus host disease	Graft versus host disease	75744002	Graft versus host disease (disorder)	1000
14	903	Von Willebrand disease	Von Willebrand disease	11093006	von Willebrand disease (disorder)	1000
15	143	Parathyroid carcinoma	Parathyroid carcinoma	255037004	Parathyroid carcinoma (disorder)	1000
16	70476	Vernal keratoconjunctivitis	Vernal keratoconjunctivitis	317349009	Vernal keratoconjunctivitis (disorder)	1000
17	238329	Severe X-linked mitochondrial encephalomyopathy	Severe X-linked mitochondrial encephalomyopathy	722212004	Severe X-linked mitochondrial encephalomyopathy (disorder)	1000
18	211067	Episodic ataxia type 5	Episodic ataxia type 5	718756005	Episodic ataxia type 5 (disorder)	1000
19	329894	Juvenile overlap myositis	Juvenile overlap myositis	766252004	Juvenile overlap myositis (disorder)	1000
20	254379	Linear lichen planus	Linear lichen planus	44509000	Linear lichen planus (disorder)	1000
21	284460	Acute annular outer retinopathy	Acute annular outer retinopathy	783612007	Acute annular outer retinopathy (disorder)	1000
22	329481	Lipoprotein glomerulopathy	Lipoprotein glomerulopathy	446923008	Lipoprotein glomerulopathy (disorder)	1000
23	157215	Hereditary hypophosphatemic rickets with hypercalciuria	Hereditary hypophosphatemic rickets with hypercalciuria	726081005	Hereditary hypophosphatemic rickets with hypercalciuria (disorder)	1000
24	2200	Focal palmoplantar and gingival keratoderma	Focal palmoplantar and gingival keratoderma	764963007	Focal palmoplantar and gingival keratoderma (disorder)	1000
25	2905	POEMS syndrome	POEMS syndrome	79268002	POEMS syndrome (disorder)	1000
26	94091	Mills syndrome	Mills syndrome	785809005	Mills syndrome (disorder)	1000
27	90068	Cocaine intoxication	Cocaine intoxication	27956007	Cocaine intoxication (disorder)	1000
28	2869	Peutz-Jeghers syndrome	Peutz-Jeghers syndrome	54411001	Peutz-Jeghers syndrome (disorder)	1000
29	230	Dopamine beta-hydroxylase deficiency	Dopamine beta-hydroxylase deficiency	237923004	Dopamine beta-hydroxylase deficiency (disorder)	1000
30	2812	Parana hard skin syndrome	Parana hard skin syndrome	783013001	Parana hard skin syndrome (disorder)	1000
31	139411	Carney triad	Carney triad	733492003	Carney triad (disorder)	1000
32	100998	Autosomal dominant spastic paraplegia type 17	Autosomal dominant spastic paraplegia type 17	230263009	Autosomal dominant spastic paraplegia type 17 (disorder)	1000
33	431149	Combined immunodeficiency due to OX40 deficiency	Combined immunodeficiency due to OX40 deficiency	766879006	Combined immunodeficiency due to OX40 deficiency (disorder)	1000
34	290	Congenital rubella syndrome	Congenital rubella syndrome	157117002	Congenital rubella syndrome (disorder)	1000
35	66627	Pigmented villonodular synovitis	Pigmented villonodular synovitis	95412009	Pigmented villonodular synovitis (disorder)	1000
36	3283	His bundle tachycardia	His bundle tachycardia	233901002	His bundle tachycardia (disorder)	1000
37	98934	Huntington disease-like 2	Huntington disease-like 2	721228006	Huntington disease-like 2 (disorder)	1000
38	1186	Infantile onset spinocerebellar ataxia	Infantile onset spinocerebellar ataxia	724227000	Infantile onset spinocerebellar ataxia (disorder)	1000
39	75327	North Carolina macular dystrophy	North Carolina macular dystrophy	312925009	North Carolina macular dystrophy (disorder)	1000
40	79503	Ichthyosis hystrix of Curth-Macklin	Ichthyosis hystrix of Curth-Macklin	254170001	Ichthyosis hystrix of Curth-Macklin (disorder)	1000
41	228179	Autosomal dominant Charcot-Marie-Tooth disease type 2M	Autosomal dominant Charcot-Marie-Tooth disease type 2M	719514002	Autosomal dominant Charcot-Marie-Tooth disease type 2M (disorder)	1000
42	2655	Thanatophoric dysplasia	Thanatophoric dysplasia	29352008	Thanatophoric dysplasia (disorder)	1000
