	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
0	251646	Anaplastic ependymoma	Anaplastic ependymoma	21589007	Ependymoma, anaplastic	1000
1	424053	Mucinous cystadenocarcinoma of the pancreas	Mucinous cystadenocarcinoma of the pancreas	785879009	Mucinous cystadenocarcinoma of pancreas	1000
2	293168	Infantile-onset ascending hereditary spastic paralysis	Infantile-onset ascending hereditary spastic paralysis	703543005	IAHSP - infantile onset ascending hereditary spastic paralysis	1000
3	2698	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	1271009	Bart-Pumphrey syndrome	1000
4	99828	Dengue fever	Dengue fever	409671005	Dengue shock syndrome	1000
5	79333	COG7-CDG	COG7-CDG	717773005	COG7 (component of oligomeric golgi complex 7) congenital disorder of glycosylation	1000
6	200421	Immunodeficiency with factor H anomaly	Immunodeficiency with factor H anomaly	234622003	Factor H deficiency	1000
7	367	Glycogen storage disease due to glycogen branching enzyme deficiency	Glycogen storage disease due to glycogen branching enzyme deficiency	422348008	Andersen Tawil syndrome	1000
8	163690	Hypotonia-cystinuria syndrome	Hypotonia-cystinuria syndrome	721173005	Hypotonia cystinuria syndrome	1000
9	79323	MPDU1-CDG	MPDU1-CDG	724096007	Carbohydrate deficient glycoprotein syndrome type If	1000
10	99027	Adult-onset autosomal dominant leukodystrophy	Adult-onset autosomal dominant leukodystrophy	448054001	Adult onset autosomal dominant leucodystrophy	1000
11	99861	Precursor T-cell acute lymphoblastic leukemia	Precursor T-cell acute lymphoblastic leukemia	277575008	Acute T-cell lymphoblastic leukaemia	1000
12	163	Hereditary hyperferritinemia-cataract syndrome	Hereditary hyperferritinemia-cataract syndrome	702398007	Bonneau-Beaumont syndrome	1000
13	2045	FLOTCH syndrome	FLOTCH syndrome	774065001	FLOTCH syndrome	1000
14	88639	Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency	Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency	124427009	Beta-hydroxyisobutyryl-coenzyme A deacylase deficiency	1000
15	65	Leber congenital amaurosis	Leber congenital amaurosis	193413001	CRB - Congenital retinal blindness	1000
16	538	Lymphangioleiomyomatosis	Lymphangioleiomyomatosis	73017001	Lymphangioleiomyomatosis	1000
17	101084	Charcot-Marie-Tooth disease type 1D	Charcot-Marie-Tooth disease type 1D	719979008	Charcot-Marie-Tooth disease type 1D	1000
18	275534	Myostatin-related muscle hypertrophy	Myostatin-related muscle hypertrophy	699185005	Muscle hypertrophy syndrome	1000
19	52417	MALT lymphoma	MALT lymphoma	445269007	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue	1000
20	3466	WT limb-blood syndrome	WT limb-blood syndrome	719019000	WT limb blood syndrome	1000
21	47612	Felty syndrome	Felty syndrome	57160007	Felty syndrome	1000
22	1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	717812000	Congenital cataract, hypertrophic cardiomyopathy, mitochondrial myopathy syndrome	1000
23	3052	X-linked intellectual disability-seizures-psoriasis syndrome	X-linked intellectual disability-seizures-psoriasis syndrome	719810000	Tranebjaerg Svejgaard syndrome	1000
24	3198	Stiff person syndrome and related disorders	Stiff person syndrome and related disorders	5217008	Gamma neuron overactivity syndrome	1000
25	99978	Klatskin tumor	Klatskin tumor	6492006	Klatskin tumor	1000
26	621	Hereditary methemoglobinemia	Hereditary methemoglobinemia	267550008	Congenital methaemoglobinaemia	1000
27	726	Alpers-Huttenlocher syndrome	Alpers-Huttenlocher syndrome	20415001	Alper's disease	1000
28	494	Keratoderma hereditarium mutilans	Keratoderma hereditarium mutilans	24559001	Mutilating keratoderma	1000
29	137820	Extrapelvic endometriosis	Extrapelvic endometriosis	396224008	Endometriosis	1000
30	2843	Pentosuria	Pentosuria	190764000	Essential benign pentosuria	1000
31	69077	Rhabdoid tumor	Rhabdoid tumor	83118000	Malignant rhabdoid tumor	1000
32	79157	2-methylbutyryl-CoA dehydrogenase deficiency	2-methylbutyryl-CoA dehydrogenase deficiency	444838008	Deficiency of 2-methylbutyryl-CoA dehydrogenase	1000
33	251931	Cerebellar liponeurocytoma	Cerebellar liponeurocytoma	716592003	Cerebellar liponeurocytoma	1000
34	351	Galactosialidosis	Galactosialidosis	35691006	Combined deficiency of neuroaminidase and beta galactosidase	1000
35	366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Glycogen storage disease due to glycogen debranching enzyme deficiency	124472001	Deficiency of 6-alpha-D-glucosidase	1000
36	3440	Waardenburg syndrome	Waardenburg syndrome	47434006	Waardenburg syndrome	1000
37	1331	Familial prostate cancer	Familial prostate cancer	715412008	Familial malignant neoplasm of prostate	1000
38	352540	Oncogenic osteomalacia	Oncogenic osteomalacia	392559009	Oncogenic osteomalacia	1000
39	2348	Familial partial lipodystrophy, Dunnigan type	Familial partial lipodystrophy, Dunnigan type	715439000	Dunnigan syndrome	1000
40	171866	Spondyloepimetaphyseal dysplasia, aggrecan type	Spondyloepimetaphyseal dysplasia, aggrecan type	719165004	Spondyloepimetaphyseal dysplasia aggrecan type	1000
41	79105	Myxofibrosarcoma	Myxofibrosarcoma	6250003	Fibromyxosarcoma	1000
42	641	Multifocal motor neuropathy	Multifocal motor neuropathy	230591002	MMN - Motor neuropathy with multiple conduction block	1000
43	90795	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	124214007	11-beta-hydroxylase deficiency	1000
44	243343	Dimethylglycine dehydrogenase deficiency	Dimethylglycine dehydrogenase deficiency	719449007	Deficiency of dimethylglycine dehydrogenase	1000
45	221039	Hereditary sclerosing poikiloderma, Weary type	Hereditary sclerosing poikiloderma, Weary type	403774004	Hereditary sclerosing poikiloderma of Weary	1000
46	101000	Autosomal recessive spastic paraplegia type 20	Autosomal recessive spastic paraplegia type 20	230264003	Troyer syndrome	1000
47	213767	Squamous cell carcinoma of the cervix uteri	Squamous cell carcinoma of the cervix uteri	254886006	Squamous cell carcinoma of cervix	1000
48	63999	IgG4-related mediastinitis	IgG4-related mediastinitis	7377003	Fibrosing mediastinitis	1000
49	171695	Parkinsonian-pyramidal syndrome	Parkinsonian-pyramidal syndrome	783012006	Pallidopyramidal syndrome	1000
50	35122	Congenital sucrase-isomaltase deficiency	Congenital sucrase-isomaltase deficiency	78373000	Congenital sucrose intolerance	1000
51	90	Argininemia	Argininemia	23501004	ARGI deficiency	1000
52	79411	Transient bullous dermolysis of the newborn	Transient bullous dermolysis of the newborn	723553000	Transient bullous dermolysis of newborn	1000
