	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
0	217563	Neonatal acute respiratory distress due to SP-B deficiency	Neonatal acute respiratory distress due to surfactant protein B deficiency	[[46775006, 255407002, 373895009, 46775006, 255407002, 373895009]]	46775006|Respiratory distress syndrome in the newborn (disorder)|:362981000|Qualifier Value|=255407002|Neonatal (qualifier value)|+373895009|Acute respiratory distress (finding)|+46775006|Respiratory distress syndrome in the newborn (disorder)|:362981000|Qualifier Value|=255407002|Neonatal (qualifier value)|+373895009|Acute respiratory distress (finding)|	744.0
1	279934	Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency	Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency	[[237995002], [246176004]]	237995002|Depletion of mitochondrial deoxyribonucleic acid (disorder)|:246061005|Attribute|=246176004|Form (attribute)|	916.0
2	438075	Ketoacidosis due to monocarboxylate transporter-1 deficiency	Ketoacidosis due to monocarboxylate transporter-1 deficiency	[[2538008, 42752001]]	2538008|Ketosis (disorder)|:246061005|Attribute|=42752001|Due to (attribute)|	701.0
5	139441	Hypomyelination with atrophy of basal ganglia and cerebellum	H-ABC	[[286551008, 203468000, 286551008]]	203468000|Aneurysmal bone cyst (disorder)|:362981000|Qualifier Value|=286551008|per hour (qualifier value)|:362981000|Qualifier Value|=286551008|per hour (qualifier value)|	888.0
6	178544	Primary cutaneous diffuse large B-cell lymphoma, leg type	Primary cutaneous diffuse large B-cell lymphoma, leg type	[[404144008], [30021000]]	404144008|Primary cutaneous diffuse large cell B-cell lymphoma (disorder)|:363698007|Finding Site|=30021000|Lower leg structure (body structure)|	1000.0
7	213837	Malignant germ cell tumor of the cervix uteri	Cervical malignant germ cell tumor	[[261064006, 713582000]]	713582000|Malignant germ cell neoplasm (morphologic abnormality)|:362981000|Qualifier Value|=261064006|Cervical (qualifier value)|	928.0
8	440427	Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency	PAP, Reunion island type	[[250767002], [410656007]]	250767002|Pulmonary artery pressure (observable entity)|:362981000|Qualifier Value|=410656007|Type (property) (qualifier value)|	1000.0
9	178506	Brain calcification, Rajab type	Brain calcification, Rajab type	[[17944005], [410656007]]	17944005|Cerebral calcification (disorder)|:362981000|Qualifier Value|=410656007|Type (property) (qualifier value)|	1000.0
10	100973	FRAXE intellectual disability	Intellectual disability associated with fragile site FRAXE	[[110359009], [47429007]]	110359009|Intellectual disability (disorder)|:246061005|Attribute|=47429007|Associated with (attribute)|	1000.0
11	528105	Hypohidrosis-electrolyte imbalance-lacrimal gland dysfunction-ichthyosis-xerostomia syndrome	HELIX syndrome	[[86153000, 64572001]]	64572001|Disease (disorder)|:363698007|Finding Site|=86153000|Helix structure (body structure)|	888.0
12	2271	Congenital ichthyosis-microcephalus-tetraplegia syndrome	Congenital ichthyosis-microcephalus-quadriplegia syndrome	[[13059002, 275468009]]	13059002|Congenital ichthyosis of skin (disorder)|+275468009|Congenital quadriplegia (disorder)|	840.0
