	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
3	391487	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	722288007	Autoimmune enteropathy and endocrinopathy with susceptibility to chronic infection syndrome	97
5	357237	Severe combined immunodeficiency due to CARD11 deficiency	Severe combined immunodeficiency due to CARD11 deficiency	765145001	T-B+ severe combined immunodeficiency due to gamma chain deficiency	86
10	90160	Pressure-induced localized lipoatrophy	Semicircular lipoatrophy	238898001	Semicircular lipoatrophy	100
13	33402	Pediatric hepatocellular carcinoma	Pediatric hepatocellular carcinoma	109841003	Hepatocellular carcinoma	83
24	444099	Autosomal dominant spastic paraplegia type 73	Autosomal dominant spastic paraplegia type 73	782670003	Autosomal dominant spastic paraplegia type 3	99
27	440221	Congenital oculomotor nerve palsy	Congenital third cranial nerve palsy	230542008	Congenital facial nerve palsy	83
29	329475	Spastic paraplegia-Paget disease of bone syndrome	Spastic paraplegia-Paget disease of bone syndrome	726622002	Spastic paraplegia with Paget disease of bone syndrome	95
32	276399	Familial multinodular goiter	Familial multinodular goiter	237570007	Multinodular goiter	81
33	363523	Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome	Shaheen syndrome	773553003	Shaheen syndrome	100
40	90156	Centrifugal lipodystrophy	Lipodystrophia centrifugalis abdominalis infantilis	238899009	Lipodystrophia centrifugalis abdominalis infantalis	98
41	79156	Seizures-intellectual disability due to hydroxylysinuria syndrome	Seizures-intellectual disability due to hydroxylysinuria syndrome	723994004	Seizures and intellectual disability due to hydroxylysinuria syndrome	97
42	320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation	Autosomal recessive spastic paraplegia type 49	783198006	Autosomal recessive spastic paraplegia type 49	100
45	31142	Oral erosive lichen	Oral erosive lichen	238662007	Erosive oral lichen planus	84
47	352470	DNA2-related mitochondrial DNA deletion syndrome	Mitochondrial DNA deletion syndrome with limb-girdle weakness	783057002	Mitochondrial DNA deletion syndrome with limb-girdle weakness	100
49	36234	Bacterial toxic-shock syndrome	Bacterial toxic-shock syndrome	18504008	Toxic shock syndrome	80
50	370930	XYLT1-CDG	XYLT1-CDG	773418007	XYLT1-CDG	100
51	458798	Spinocerebellar ataxia type 41	Spinocerebellar ataxia type 41	91952008	Spinocerebellar ataxia type 3	95
