	ORDO_ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
288	538931	X-linked lymphoproliferative disease due to SH2D1A deficiency	XLP1	77121009	X-linked lymphoproliferative syndrome (disorder)	1000
346	536545	Kyphoscoliotic Ehlers-Danlos syndrome	Ehlers-Danlos syndrome type 6	25606004	Ehlers-Danlos syndrome, hydroxylysine-deficient (disorder)	1000
134	530995	Mixed phenotype acute leukemia	Mixed phenotype acute leukemia	450913003	Mixed phenotype acute leukemia (morphologic abnormality)	1000
26	530792	RELA fusion-positive ependymoma	RELA fusion-positive ependymoma	733868000	RELA fusion-positive ependymoma (morphologic abnormality)	1000
39	519410	Terrien marginal degeneration	Terrien marginal degeneration	27971006	Terrien's marginal degeneration of cornea (disorder)	1000
20	519408	Mooren ulcer	Mooren ulcer	22440001	Mooren's ulcer (disorder)	1000
329	506098	Neuroendocrine carcinoma of pancreas	Pancreatic neuroendocrine carcinoma	254612002	Carcinoma of endocrine pancreas (disorder)	1000
135	502499	Erythema multiforme major	Erythema multiforme major	73442001	Stevens-Johnson syndrome (disorder)	1000
12	502366	Squamous cell carcinoma of the lip	Squamous cell carcinoma of the lip	255071008	Squamous cell carcinoma of lip (disorder)	1000
128	502363	Squamous cell carcinoma of the oral cavity	Squamous cell carcinoma of the oral cavity	307502000	Squamous cell carcinoma of mouth (disorder)	1000
8	500478	Squamous cell carcinoma of the oropharynx	Squamous cell carcinoma of the oropharynx	423464009	Squamous cell carcinoma of oropharynx (disorder)	1000
343	500062	Infantile-onset periodic fever-panniculitis-dermatosis syndrome	Otulipenia	765435009	OTU deubiquitinase with linear linkage specificity related autoinflammatory syndrome (disorder)	1000
24	499182	Pilomatrix carcinoma	Pilomatrix carcinoma	24762001	Pilomatrix carcinoma (morphologic abnormality)	1000
61	498474	Hyaline fibromatosis syndrome	Hyaline fibromatosis syndrome	238867003	Infantile systemic hyalinosis (disorder)	1000
267	497737	Epidermolytic nevus	Epidermolytic epidermal nevus	787086003	Epidermolytic epidermal nevus (morphologic abnormality)	1000
126	494550	Squamous cell carcinoma of the larynx	Squamous cell carcinoma of the larynx	405822008	Squamous cell carcinoma of larynx (disorder)	1000
303	494418	Vulvar carcinoma	Carcinoma of vulva	447882007	Malignant epithelial neoplasm of vulva (disorder)	1000
327	480512	Idiopathic ductopenia	IAD	80599001	Isolated corticotropin deficiency (disorder)	1000
47	464318	Verrucous hemangioma	Verrucous hemangioma	20985003	Verrucous keratotic hemangioma (morphologic abnormality)	1000
158	459353	C1 inhibitor deficiency	C1 inhibitor deficiency	82966003	Hereditary angioedema (disorder)	1000
350	458768	Primary intralymphatic angioendothelioma	Dabska tumor	128768006	Endovascular papillary angioendothelioma (morphologic abnormality)	1000
21	457246	Clear cell sarcoma of kidney	Clear cell sarcoma of kidney	24007003	Clear cell sarcoma of kidney (morphologic abnormality)	1000
45	454742	Variably protease-sensitive prionopathy	Variably protease-sensitive prionopathy	721165001	Variably protease sensitive prionopathy (disorder)	1000
270	449432	IgG4-related submandibular gland disease	Kuttner tumor	448131008	Chronic sclerosing sialadenitis (disorder)	1000
368	449427	IgG4-related pachymeningitis	Idiopathic hypertrophic pachymeningitis	762282007	Idiopathic hypertrophic pachymeningitis (disorder)	1000
391	443197	X-linked erythropoietic protoporphyria	XLP	77121009	X-linked lymphoproliferative syndrome (disorder)	1000
153	440233	Congenital abducens nerve palsy	Congenital abducens nerve palsy	400945000	Congenital sixth nerve palsy (disorder)	1000
60	424982	Biliary cystadenocarcinoma	Biliary cystadenocarcinoma	50422007	Bile duct cystadenocarcinoma (morphologic abnormality)	1000
3	424261	Autosomal recessive limb-girdle muscular dystrophy type 2Y	Autosomal recessive limb-girdle muscular dystrophy type 2Y	725907002	Autosomal recessive limb girdle muscular dystrophy type 2Y (disorder)	1000
101	424016	Adenocarcinoma of the anal canal	Adenocarcinoma of the anal canal	764845008	Adenocarcinoma of anal canal (disorder)	1000
167	423994	Squamous cell carcinoma of the colon	Squamous cell carcinoma of the colon	766981007	Squamous cell carcinoma of colon (disorder)	1000
365	423454	Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome	Ectodermal dysplasia-short stature syndrome	764995008	Nail and tooth abnormalities, marginal palmoplantar keratoderma, oral hyperpigmentation syndrome (disorder)	1000
259	420686	Woolly hair-palmoplantar keratoderma syndrome	Keratoderma with woolly hair type IV	764108000	Wooly hair with palmoplantar keratoderma syndrome (disorder)	1000
88	420573	Severe combined immunodeficiency due to CTPS1 deficiency	Severe combined immunodeficiency due to CTPS1 deficiency	763623001	Severe combined immunodeficiency due to cytidine 5-prime triphosphate synthetase 1 deficiency (disorder)	1000
112	418959	Squamous cell carcinoma of the stomach	Squamous cell carcinoma of the stomach	766980008	Squamous cell carcinoma of stomach (disorder)	1000
18	411777	Generalized eruptive keratoacanthoma	Generalized eruptive keratoacanthoma	254664008	Eruptive keratoacanthoma (disorder)	1000
31	411602	Hereditary late-onset Parkinson disease	Hereditary late-onset Parkinson disease	716662004	Autosomal dominant late onset Parkinson disease (disorder)	1000
426	404560	Familial atypical multiple mole melanoma syndrome	B-K mole syndrome	254819008	Atypical mole syndrome (disorder)	1000
162	404546	DITRA	DITRA	238612002	Generalized pustular psoriasis (disorder)	1000
85	404454	Alacrimia-choreoathetosis-liver dysfunction syndrome	Alacrimia-choreoathetosis-liver dysfunction syndrome	768846004	N-glycanase 1 congenital disorder of deglycosylation (disorder)	1000
64	401945	Moyamoya disease with early-onset achalasia	Moyamoya disease with early-onset achalasia	718551002	Moyamoya disease with early onset achalasia (disorder)	1000
114	399307	Idiopathic avascular necrosis	Idiopathic avascular necrosis	82562007	Osteochondritis dissecans (disorder)	1000
174	399086	Finnish upper limb-onset distal myopathy	Finnish upper limb-onset distal myopathy	763718009	Finnish upper limb onset distal myopathy (disorder)	1000
136	398987	Malignant teratoma of ovary	Malignant teratoma of ovary	254871000	Immature teratoma of ovary (disorder)	1000
76	398980	Primary peritoneal serous/papillary carcinoma	Primary peritoneal serous/papillary carcinoma	15674004	Serous surface papillary carcinoma (morphologic abnormality)	1000
280	398971	Clear cell adenocarcinoma of the ovary	Ovarian clear cell adenocarcinoma	763131005	Clear cell adenocarcinoma of ovary (disorder)	1000
348	398053	Adenocarcinoma of the penis	Penile adenocarcinoma	764846009	Adenocarcinoma of penis (disorder)	1000
385	397941	MAN1B1-CDG	Carbohydrate deficient glycoprotein syndrome type II due to MAN1B1 deficiency	733450008	Carbohydrate deficient glycoprotein syndrome type 2 due to deficiency of mannosidase alpha class 1B member 1 (disorder)	1000
41	397685	Familial  hyperprolactinemia	Familial  hyperprolactinemia	763715007	Familial hyperprolactinemia (disorder)	1000
370	397606	PrP systemic amyloidosis	Chronic diarrhea with hereditary sensory and autonomic neuropathy	733422008	Prion protein systemic amyloidosis (disorder)	1000
186	391417	HSD10 disease	HSD10 disease	801000124108	2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency (disorder)	1000
97	391351	SURF1-related Charcot-Marie-Tooth disease type 4	SURF1-related Charcot-Marie-Tooth disease type 4	765047006	SURF1, cytochrome c oxidase assembly factor related Charcot-Marie-Tooth disease type 4 (disorder)	1000
9	371428	Multicentric osteolysis-nodulosis-arthropathy spectrum	Multicentric osteolysis-nodulosis-arthropathy spectrum	716868003	Multicentric osteolysis nodulosis arthropathy spectrum (disorder)	1000
53	370943	Autism spectrum disorder-epilepsy-arthrogryposis syndrome	Autism spectrum disorder-epilepsy-arthrogryposis syndrome	733623005	Autism spectrum disorder, epilepsy, arthrogryposis syndrome (disorder)	1000
305	370927	SSR4-CDG	Congenital disorder of glycosylation type 1y	733115009	Congenital disorder of glycosylation type 1y (disorder)	1000
358	370921	STT3A-CDG	CDG-Iw	733111000	Congenital disorder of glycosylation type 1w (disorder)	1000
272	370022	Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome	Poretti-Boltshauser syndrome	763344007	Cerebellar ataxia, intellectual disability, oculomotor apraxia, cerebellar cysts syndrome (disorder)	1000
111	369840	Autosomal recessive limb-girdle muscular dystrophy type 2S	Autosomal recessive limb-girdle muscular dystrophy type 2S	732929002	Autosomal recessive limb girdle muscular dystrophy type 2S (disorder)	1000
244	364055	Severe early-childhood-onset retinal dystrophy	Severe early-childhood-onset retinal dystrophy	716663009	Severe early childhood onset retinal dystrophy (disorder)	1000
156	364043	ALK-positive large B-cell lymphoma	ALK-positive large B-cell lymphoma	450910000	Anaplastic lymphoma kinase positive large B-cell lymphoma (morphologic abnormality)	1000
25	364033	Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood	Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood	450906003	Systemic Epstein Barr virus positive T-cell lymphoproliferative disease of childhood (morphologic abnormality)	1000
58	363623	Autosomal recessive limb-girdle muscular dystrophy type 2T	Autosomal recessive limb-girdle muscular dystrophy type 2T	732930007	Autosomal recessive limb girdle muscular dystrophy type 2T (disorder)	1000
38	363543	Autosomal recessive limb-girdle muscular dystrophy type 2R	Autosomal recessive limb-girdle muscular dystrophy type 2R	732931006	Autosomal recessive limb girdle muscular dystrophy type 2R (disorder)	1000
68	363494	Non-seminomatous germ cell tumor of testis	Non-seminomatous germ cell tumor of testis	107691000119101	Non-seminomatous germ cell neoplasm of testis (disorder)	1000
13	363489	Sex cord-stromal tumor of testis	Sex cord-stromal tumor of testis	702406000	Sex cord stromal tumor of testis (disorder)	1000
316	363409	Fetal akinesia-cerebral and retinal hemorrhage syndrome	Lethal congenital contracture syndrome type 5	763346009	Fetal akinesia, cerebral and retinal hemorrhage syndrome (disorder)	1000
32	353220	Familial primary localized cutaneous amyloidosis	Familial primary localized cutaneous amyloidosis	111390002	Dominant primary localized cutaneous amyloidosis (disorder)	1000
130	352328	MEGDEL syndrome	MEGDEL syndrome	711409002	3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome (disorder)	1000
66	330041	Hemoglobin M disease	Hemoglobin M disease	267550008	Congenital methemoglobinemia (disorder)	1000
333	330001	Wild type ATTR amyloidosis	Senile systemic amyloidosis	237877004	Senile systemic amyloidosis (disorder)	1000
43	329967	Intermittent hydrarthrosis	Intermittent hydrarthrosis	711286009	Intermittent effusion of joint (disorder)	1000
80	329942	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	Transient neonatal multiple acyl-CoA dehydrogenase deficiency	723552005	Transient neonatal multiple acyl-coenzyme A dehydrogenase deficiency (disorder)	1000
94	329314	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency	733599009	Adult-onset multiple mitochondrial deoxyribonucleic acid deletion syndrome due to deoxyguanosine kinase deficiency (disorder)	1000
403	324737	SRD5A3-CDG	CDG-Iq	733601006	Congenital disorder of glycosylation type 1q (disorder)	1000
82	324611	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation	764730007	Autosomal dominant Charcot-Marie-Tooth disease type 2 due to kinesin family member 5A mutation (disorder)	1000
142	324575	Hyperinsulinism due to HNF1A deficiency	Hyperinsulinism due to HNF1A deficiency	721234004	Hyperinsulinism due to hepatocyte nuclear factor 1-alpha deficiency (disorder)	1000
328	324561	Hypopigmentation-punctate palmoplantar keratoderma syndrome	Cole disease	711154007	Guttate hypopigmentation and punctate palmoplantar keratoderma with or without ectopic calcification (disorder)	1000
377	324422	ALG13-CDG	CDG1S	733451007	Congenital disorder of glycosylation type 1s (disorder)	1000
363	319667	Primary lymphoma of the conjunctiva	Primary lymphoid conjunctival tumor	763477007	Primary lymphoma of conjunctiva (disorder)	1000
412	319651	Constitutional megaloblastic anemia with severe neurologic disease	Dihydrofolate reductase deficiency	124178006	Deficiency of dihydrofolate reductase (disorder)	1000
71	319480	Acute myeloid leukemia with CEBPA somatic mutations	Acute myeloid leukemia with CEBPA somatic mutations	764855007	Acute myeloid leukemia with CCAAT/enhancer binding protein alpha somatic mutation (disorder)	1000
234	319340	Carney complex-trismus-pseudocamptodactyly syndrome	Carney complex-trismus-pseudocamptodactyly syndrome	766881008	Carney complex, trismus, pseudocamptodactyly syndrome (disorder)	1000
74	319244	Chapare hemorrhagic fever	Chapare hemorrhagic fever	716584007	Hemorrhagic fever caused by Chapare virus (disorder)	1000
83	319213	Lujo hemorrhagic fever	Lujo hemorrhagic fever	716585008	Hemorrhagic fever caused by Lujo virus (disorder)	1000
86	319189	Familial cortical myoclonus	Familial cortical myoclonus	763770005	Familial myoclonus of cerebral cortex (disorder)	1000
127	317425	Severe combined immunodeficiency due to DNA-PKcs deficiency	Severe combined immunodeficiency due to DNA-PKcs deficiency	716871006	Severe combined immunodeficiency due to deoxyribonucleic acid dependent protein kinase catalytic subunit deficiency (disorder)	1000
125	314811	Short stature due to GHSR deficiency	Short stature due to GHSR deficiency	766817004	Short stature due to growth hormone secretagogue receptor deficiency (disorder)	1000
314	314667	TMEM165-CDG	Carbohydrate deficient glycoprotein syndrome type IIk	732252005	Carbohydrate deficient glycoprotein syndrome type 2k (disorder)	1000
73	314652	Variant ABeta2M amyloidosis	Variant ABeta2M amyloidosis	722292000	Autosomal dominant beta2-microglobulinic amyloidosis (disorder)	1000
155	314478	Ovarian fibrothecoma	Ovarian fibrothecoma	765190005	Fibrothecoma of ovary (disorder)	1000
265	314376	Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	Meconium ileus due to guanylate cyclase 2C deficiency	733447005	Intestinal obstruction in newborn due to guanylate cyclase 2C deficiency (disorder)	1000
