	Concept	UMLS_CUI	SNOMED
0	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	C4317151	723363009
1	Hyperinsulinism due to HNF4A deficiency	C4274078	717048002
2	Congenital Epstein-Barr virus infection	C4274357	716660007
3	Autosomal recessive limb-girdle muscular dystrophy type 2Y	C4511482	725907002
4	Posterior cortical atrophy	C4275079	715574002
5	Erythroderma desquamativum	C0343047	263661007
6	Neuropathy with hearing impairment	C4509933	723497003
7	Central nervous system calcification-deafness-tubular acidosis-anemia syndrome	C4512024	726669007
8	Squamous cell carcinoma of the oropharynx	C0280313	423464009
9	Multicentric osteolysis-nodulosis-arthropathy spectrum	C4274222	716868003
10	Ulerythema ophryogenesis	C0263428	400059005
11	Autosomal recessive limb-girdle muscular dystrophy type 2O	C4510742	725043006
12	Squamous cell carcinoma of the lip	C0280302	255071008
13	Sex cord-stromal tumor of testis	C3840076	702406000
14	Hinman syndrome	C1997362	429233001
15	Thymic neuroendocrine carcinoma	C2210965	716653001
16	Hyperinsulinism due to glucokinase deficiency	C4274019	717182006
17	Cyclosporosis	C4274225	716860005
18	Generalized eruptive keratoacanthoma	C0345985	254664008
19	Grayson-Wilbrandt corneal dystrophy	C4305579	717286002
20	Mooren ulcer	C0155072	22440001
21	Clear cell sarcoma of kidney	C0334488	24007003
22	Spinocerebellar ataxia with axonal neuropathy type 2	C1853761	725408001
23	Butterfly-shaped pigment dystrophy	C4511237	725590001
24	Pilomatrix carcinoma	C0585475	24762001
25	Systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood	C2699747	450906003
26	RELA fusion-positive ependymoma	C4289581	733868000
27	Hughes-Stovin syndrome	C4303478	721226005
28	Estrogen resistance syndrome	C4510972	724555000
29	Folinic acid-responsive seizures	C4273952	717276003
30	Non-amyloid fibrillary glomerulopathy	C4273674	718192000
31	Hereditary late-onset Parkinson disease	C4274355	716662004
32	Familial primary localized cutaneous amyloidosis	C0268398	111390002
33	Cavitary myiasis	C4707154	764811001
34	Combined immunodeficiency due to CRAC channel dysfunction	C4303571	717811007
35	Fatal infantile lactic acidosis with methylmalonic aciduria	C4275183	715338007
36	Short stature due to primary acid-labile subunit deficiency	C4303612	721074002
37	Acetazolamide-responsive myotonia	C4275008	715793003
38	Autosomal recessive limb-girdle muscular dystrophy type 2R	C4518001	732931006
39	Terrien marginal degeneration	C0271283	27971006
40	Erythrokeratoderma ''en cocardes''	C0221011	400171002
41	Familial  hyperprolactinemia	C4706551	763715007
42	Multifocal pattern dystrophy simulating fundus flavimaculatus	C4509881	723408004
43	Intermittent hydrarthrosis	C0149910	711286009
44	Dissecting cellulitis of the scalp	C0263506	77333008
45	Variably protease-sensitive prionopathy	C4303527	721165001
46	Alymphoid cystic thymic dysgenesis	C1866426	720345008
47	Verrucous hemangioma	C0334540	20985003
48	Retinal arterial tortuosity	C0423401	247123003
49	Infectious anterior uveitis	C0154911	89114005
50	Ravine syndrome	C4275006	715794009
51	Familial hypoaldosteronism	C4275180	715343000
52	Epstein-Barr virus-associated gastric carcinoma	C4274414	716586009
53	Autism spectrum disorder-epilepsy-arthrogryposis syndrome	C4518080	733623005
54	NK-cell enteropathy	C4509932	723496007
55	Elastofibroma dorsi	C0334460	9671003
56	Laryngeal neuroendocrine tumor	C1334374	707625001
57	Inherited Creutzfeldt-Jakob disease	C4275003	715807002
58	Autosomal recessive limb-girdle muscular dystrophy type 2T	C4518000	732930007
59	Graham Little-Piccardi-Lassueur syndrome	C4273658	718215008
60	Biliary cystadenocarcinoma	C0334286	50422007
61	Hyaline fibromatosis syndrome	C2745948	238867003
62	Familial hyperaldosteronism type III	C3838758	703234002
63	Young-onset Parkinson disease	C4275179	715345007
64	Moyamoya disease with early-onset achalasia	C4305378	718551002
65	X-linked sideroblastic anemia	C4551511	48983004
66	Hemoglobin M disease	C0272087	267550008
67	Staphylococcal scarlet fever	C3714602	240450004
68	Non-seminomatous germ cell tumor of testis	C2057625	107691000119101
69	Infantile apnea	C0745261	724229002
